Jugador                      ,País    ,Posc    ,Equipo      ,Edad    ,Nacimiento ,PJ ,Titular ,Mín    ,90 s ,Gls. ,Gls. ,Ass ,TP ,TA ,TR
Gustavo Del Prete            ,ar ARG  ,"CC,DL" ,Mazatlán    ,28-166  ,1996       , 3 ,      3 , 230.0 , 2.6 , 1.0 ,0.39 ,0.0 , 0 , 1 , 0
Everardo Del Villar          ,mx MEX  ,DF      ,Toluca      ,19-247  ,2005       , 3 ,      2 , 213.0 , 2.4 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Arturo Delgado               ,mx MEX  ,PO      ,FC Juárez   ,22-281  ,2002       , 2 ,      2 , 180.0 , 2.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Nelson Deossa                ,co COL  ,CC      ,Pachuca     ,24-293  ,2000       ,16 ,     14 ,1212.0 ,13.5 , 2.0 ,0.15 ,2.0 , 0 , 5 , 0
Benny Díaz                   ,mx MEX  ,PO      ,FC Juárez   ,25-346  ,1998       ,11 ,     11 , 990.0 ,11.0 , 0.0 ,0.00 ,0.0 , 0 , 3 , 0
Nicolás Díaz Huincales       ,cl CHI  ,DF      ,Tijuana     ,25-189  ,1999       , 9 ,      7 , 679.0 , 7.5 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Jair Díaz                    ,mx MEX  ,DF      ,Mazatlán    ,26-096  ,1998       ,12 ,     10 , 931.0 ,10.3 , 0.0 ,0.00 ,0.0 , 0 , 4 , 0
Javairô Dilrosun             ,nl NED  ,"DL,CC" ,América     ,26-156  ,1998       ,11 ,      7 , 612.0 , 6.8 , 1.0 ,0.15 ,1.0 , 0 , 3 , 0
Willer Ditta                 ,co COL  ,DF      ,Cruz Azul   ,27-307  ,1997       ,17 ,     17 ,1530.0 ,17.0 , 0.0 ,0.00 ,0.0 , 0 , 3 , 0
Alexei Dominguez             ,mx MEX  ,DL      ,Pachuca     ,19-327  ,2005       , 3 ,      1 ,  69.0 , 0.8 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Idekel Domínguez             ,mx MEX  ,DF      ,Atlas       ,24-176  ,2000       , 2 ,      2 , 143.0 , 1.6 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Joel Domínguez               ,mx MEX  ,CC      ,Monterrey   ,19-321  ,2005       , 1 ,      0 ,   4.0 , 0.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jose Domínguez               ,py PAR  ,DF      ,Querétaro   ,28-128  ,1996       ,10 ,     10 , 846.0 , 9.4 , 0.0 ,0.00 ,0.0 , 0 , 5 , 1
Juan Domínguez               ,mx MEX  ,"DL,CC" ,Toluca      ,26-026  ,1998       ,17 ,      8 , 764.0 , 8.5 , 0.0 ,0.00 ,1.0 , 0 , 1 , 0
Julio Domínguez              ,mx MEX  ,DF      ,Atlético    ,37-017  ,1987       ,14 ,     14 ,1193.0 ,13.3 , 0.0 ,0.00 ,1.0 , 0 , 3 , 0
